@relation 'Domain class relation'

@attribute domainRank numeric
@attribute TopLevelDomain numeric
@attribute DomainLength numeric
@attribute NumberOfDots numeric
@attribute dictRatio numeric
@attribute domainRecords numeric
@attribute asNum numeric
@attribute bgpPrefix numeric
@attribute cc numeric
@attribute asOnwer numeric
@attribute domainClassification {MALICIOUS,BENIGN}

@data
{1 98689,2 3,3 1,4 100,5 1,6 4837,7 -200131115,8 2155,9 2017028797,10 BENIGN}
{1 3237038,2 11,3 2,4 100,5 1,6 15975,7 1504584853,8 2563,9 1230296656}
{1 98689,2 8,3 1,4 37}
{0 1,1 98689,2 10,3 1,4 30,5 1,6 47583,7 64923722,8 2718,9 -718509235,10 BENIGN}
{1 98689,2 10,3 2,4 100}
{1 98689,2 8,3 1,4 37,5 1,6 38700,7 -1372095626,8 2407,9 472634498}
{1 -1354875845,2 3,3 2,4 100,5 1,6 57910,7 1184547522,8 2222,9 883063829,10 BENIGN}
{1 98689,2 6,3 1,4 66,5 1,6 4134,7 -1345918246,8 2155,9 1389414199}
{1 98689,2 11,3 1,4 54,5 1,6 32421,7 1072108107,8 2718,9 1907305202}
{1 98689,2 6,3 1,4 100}
{1 98689,2 5,3 1,4 60,5 1,6 33387,7 267172534,8 2718,9 975293758}
{1 3237038,2 6,3 1,4 100,5 1,6 32244,7 -826372152,8 2718,9 -613311561,10 BENIGN}
{1 98689,2 7,3 1,4 57,5 2,6 4134,7 -1881089162,8 2155,9 1389414199}
{1 3651,2 9,3 2,4 100}
{0 1,1 94782984,2 4,3 2,4 100,10 BENIGN}
{1 98689,2 4,3 1,4 100}
{1 98689,2 6,3 1,4 100,10 BENIGN}
{1 98689,2 6,3 1,4 100}
{1 108957,2 6,3 1,4 66}
{1 98689,2 4,3 1,4 100}
{1 3641859,2 4,3 1,4 100}
{1 98689,2 8,3 1,4 50}
{1 108957,2 7,3 1,4 100,10 BENIGN}
{1 98689,2 5,3 1,4 100,10 BENIGN}
{1 98689,2 5,3 1,4 40,10 BENIGN}
{1 98689,2 5,3 1,4 100}
{1 98689,2 7,3 1,4 57}
{1 98689,2 8,3 1,4 100}
{1 98689,2 5,3 1,4 100}
{1 98689,2 7,3 1,4 71}
{1 98689,2 8,3 1,4 100}
{1 98689,2 10,3 1,4 80}
{1 98689,2 7,3 1,4 100}
{1 98689,2 12,3 1,4 50}
{1 98689,2 6,3 1,4 100}
{1 108957,2 6,3 1,4 66}
{1 98689,2 8,3 1,4 100}
{1 98689,2 5,3 1,4 100}
{1 98689,2 6,3 1,4 100}
{1 98689,2 5,3 1,4 100}
{1 98689,2 5,3 1,4 100}
{1 3179,2 7,3 1,4 100}
{1 3179,2 11,3 1,4 100}
{1 98689,2 7,3 1,4 71}
{1 98689,2 4,3 1,4 100}
{1 98689,2 4,3 1,4 100,10 BENIGN}
{1 110308,2 4,3 1,4 100,5 1,6 4837,7 -1630487807,8 2155,9 2017028797}
{1 98689,2 6,3 1,4 50,5 1,6 9848,7 286181251,8 2407,9 -1412764259,10 BENIGN}
{1 98689,2 4,3 1,4 100,5 1,6 23724,7 1731415218,8 2155,9 1774689051,10 BENIGN}
{1 108957,2 5,3 1,4 100,5 1,6 38478,7 -1376046256,8 2307,9 1793065498}
{1 98689,2 4,3 1,4 100,5 1,6 23724,7 1628080593,8 2155,9 1774689051,10 BENIGN}
{1 98689,2 6,3 1,4 50,5 1,6 38283,7 221698161,8 2155,9 -1255799231}
{1 98689,2 6,3 1,4 100,5 1,6 8100,7 -1135072430,8 2718,9 -907258930}
{1 98689,2 5,3 1,4 100,5 1,6 58879,7 1365736983,8 2155,9 21035325}
{1 -1354875381,2 2,3 2,4 100,5 1,6 49126,7 2131557320,8 2686,9 56357396,10 BENIGN}
{1 98689,2 7,3 1,4 100,5 1,6 38197,7 -1444617035,8 2155,9 -1141493246}
{0 1,1 3179,2 4,3 1,4 50,5 1,6 4837,7 173465140,8 2155,9 2017028797,10 BENIGN}
{1 108957,2 7,3 1,4 100,5 1,6 40676,7 470374641,8 2718,9 -1227235888}
{1 98689,2 10,3 1,4 40,5 1,6 4134,7 -567116816,8 2155,9 1389414199}
{1 98689,2 6,3 1,4 100,5 1,6 37963,7 1603720830,8 2155,9 2117745249}
{1 98689,2 7,3 1,4 100,5 1,6 4134,7 700849266,8 2155,9 1389414199}
{1 98689,2 8,3 1,4 100,5 1,6 9809,7 1005033854,8 2155,9 969807630}
{1 98689,2 6,3 1,4 100,5 1,6 9809,7 1005033854,8 2155,9 969807630}
{1 98689,2 12,3 2,4 100,5 1,6 9809,7 1005033854,8 2155,9 969807630}
{1 98689,2 8,3 1,4 62,5 1,6 4134,7 -1624903142,8 2155,9 1389414199}
{1 98689,2 6,3 1,4 100,5 1,6 37943,7 631263321,8 2155,9 -122936046}
{1 98689,2 5,3 1,4 100,5 1,6 46573,7 609142604,8 2718,9 -886671904}
{1 98689,2 3,3 1,4 100,5 1,6 58543,7 -708382642,8 2155,9 -913189488,10 BENIGN}
{1 98689,2 4,3 1,4 100,5 1,6 17638,7 -230470754,8 2155,9 -1568411757,10 BENIGN}
{0 1,1 98689,2 5,3 1,4 40,5 1,6 16276,7 -581925036,8 2252,9 824317969,10 BENIGN}
{1 98689,2 6,3 1,4 100,5 1,6 54600,7 527127583,8 2718,9 -1662878069}
{1 108957,2 6,3 1,4 100,5 1,6 38186,7 291329718,8 2307,9 -18515064}
{1 98689,2 6,3 1,4 100,5 1,6 40676,7 -2082308651,8 2718,9 -1227235888}
{1 98689,2 5,3 1,4 100,5 1,6 4134,7 -1438636973,8 2155,9 1389414199}
{1 98689,2 7,3 1,4 100,5 1,6 4837,7 1758248337,8 2155,9 2017028797}
{1 98689,2 9,3 1,4 55,5 1,6 56127,7 -1867727181,8 2155,9 1049490209}
