@relation 'Domain class relation'

@attribute domainRank numeric
@attribute TopLevelDomain numeric
@attribute DomainLength numeric
@attribute NumberOfDots numeric
@attribute dictRatio numeric
@attribute brandRatio numeric
@attribute domainRecords numeric
@attribute asNum numeric
@attribute bgpPrefix numeric
@attribute cc numeric
@attribute asOnwer numeric
@attribute domainClassification {MALICIOUS,BENIGN}

@data
{1 3237038,2 11,3 2,4 100,5 100,6 1,7 36947,8 -1058299741,9 2198,10 -1822294526}
{1 98689,2 8,3 1,4 37,5 100}
{0 1,1 98689,2 3,3 1,4 100,5 100,6 1,7 4837,8 -200131115,9 2155,10 2017028797,11 BENIGN}
{0 1,1 98689,2 10,3 1,4 30,5 100,6 1,7 47583,8 64923722,9 2718,10 -718509235,11 BENIGN}
{1 98689,2 8,3 1,4 37,5 62,6 1,7 38700,8 -1372095626,9 2407,10 472634498}
{1 -1354875845,2 3,3 2,4 100,5 100,6 1,7 57910,8 1184547522,9 2222,10 883063829,11 BENIGN}
{1 98689,2 11,3 1,4 54,5 100,6 1,7 32421,8 1072108107,9 2718,10 1907305202}
{1 98689,2 6,3 1,4 100,5 83}
{1 98689,2 10,3 2,4 100,5 100}
{1 98689,2 5,3 1,4 60,5 100,6 1,7 33387,8 267172534,9 2718,10 975293758}
{1 3237038,2 6,3 1,4 100,5 100,6 1,7 32244,8 -826372152,9 2718,10 -613311561,11 BENIGN}
{1 98689,2 7,3 1,4 57,5 100,6 2,7 4837,8 -1235893455,9 2155,10 2017028797}
{1 98689,2 6,3 1,4 66,5 100,6 1,7 4134,8 -1345918246,9 2155,10 1389414199}
{1 3651,2 9,3 2,4 100,5 100}
{0 1,1 94782984,2 4,3 2,4 100,5 100,11 BENIGN}
{1 98689,2 5,3 1,4 100,5 80}
{1 98689,2 6,3 1,4 100,5 100,11 BENIGN}
{1 3641859,2 4,3 1,4 100,5 100}
{1 98689,2 8,3 1,4 100,5 100,6 1,7 4134,8 2141327925,9 2155,10 1389414199}
{1 98689,2 6,3 1,4 100,5 100,6 1,7 37963,8 1603720830,9 2155,10 2117745249}
{1 98689,2 8,3 1,4 100,5 87,6 1,7 45753,8 522177964,9 2307,10 -271398888}
{1 110308,2 4,3 1,4 100,5 100,6 1,7 4837,8 -1630487807,9 2155,10 2017028797}
{1 98689,2 5,3 1,4 40,5 40,6 1,7 20738,8 -1981659008,9 2267,10 535351056}
{1 98689,2 4,3 1,4 100,5 100,6 1,7 9394,8 -2117919984,9 2155,10 661467645}
{1 108957,2 5,3 1,4 100,5 100,6 1,7 38478,8 -1376046256,9 2307,10 1793065498}
{1 3237038,2 7,3 1,4 57,5 85,6 1,7 26496,8 564776377,9 2718,10 -869396309}
{1 98689,2 6,3 1,4 50,5 100,6 1,7 4134,8 -692053487,9 2155,10 1389414199,11 BENIGN}
{0 1,1 98689,2 3,3 1,4 100,5 100,6 1,7 58543,8 -708382642,9 2155,10 -913189488,11 BENIGN}
{1 98689,2 6,3 1,4 100,5 83,6 1,7 8100,8 -1135072430,9 2718,10 -907258930}
{0 1,1 98689,2 4,3 1,4 100,5 100,6 1,7 17638,8 -230470754,9 2155,10 -1568411757,11 BENIGN}
{1 -1354875381,2 2,3 2,4 100,5 50,6 1,7 49126,8 2131557320,9 2686,10 56357396,11 BENIGN}
{0 1,1 98689,2 5,3 1,4 40,5 40,6 1,7 16276,8 -581925036,9 2252,10 824317969,11 BENIGN}
{1 98689,2 4,3 1,4 100,5 100,6 2,7 33387,8 -1732533698,9 2718,10 975293758,11 BENIGN}
{1 98689,2 6,3 1,4 100,5 100,6 1,7 54600,8 527127583,9 2718,10 -1662878069}
{1 98689,2 7,3 1,4 100,5 100,6 1,7 38197,8 -1444617035,9 2155,10 -1141493246}
{1 98689,2 4,3 1,4 100,5 100,6 1,7 4134,8 384051853,9 2155,10 1389414199,11 BENIGN}
{1 3237038,2 5,3 1,4 100,5 100,6 1,7 26496,8 2056755193,9 2718,10 -869396309,11 BENIGN}
{0 1,1 3179,2 4,3 1,4 50,5 100,6 1,7 4837,8 173465140,9 2155,10 2017028797,11 BENIGN}
{1 98689,2 6,3 1,4 100,5 33,6 1,7 40676,8 -2082308651,9 2718,10 -1227235888}
{1 98689,2 6,3 1,4 50,5 50,6 1,7 4837,8 -1006395945,9 2155,10 2017028797,11 BENIGN}
{1 98689,2 8,3 1,4 37,5 100,6 1,7 38197,8 675390586,9 2307,10 -1141493246,11 BENIGN}
{1 98689,2 7,3 1,4 100,5 100,6 1,7 58543,8 -1263853999,9 2155,10 -913189488}
{1 98689,2 8,3 1,4 62,5 100}
{1 108957,2 6,3 1,4 66,5 83}
{0 1,1 98689,2 4,3 1,4 100,5 100}
